x,z,erosion,U,βz,h_wb,slope
170.0,1986.5545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
175.0,1986.159090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
180.0,1985.7636363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
185.0,1985.3681818181817,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
190.0,1984.9727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
195.0,1984.5772727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
200.0,1984.1818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
205.0,1983.7863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
210.0,1983.3909090909092,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
215.0,1982.9954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
220.0,1982.6,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
225.0,1982.2045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
230.0,1981.8090909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
235.0,1981.4136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
240.0,1981.0181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
245.0,1980.6227272727274,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
250.0,1980.2272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
255.0,1979.831818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
260.0,1979.4363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
265.0,1979.040909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
270.0,1978.6454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
275.0,1978.25,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
280.0,1977.8545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
285.0,1977.459090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
290.0,1977.0636363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
295.0,1976.668181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
300.0,1976.2727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
